polluant;ville;valeur;valeur_brute;codgeo;nom_commune;population_2022;mediane_niveau_vie_2021;densite_population_2022;part_commerce_transport_services_2023;part_industrie_2023;nb_hotels_2022;nb_etablissements_2023;taux_activite_2022;part_construction_2023;nb_campings_2022
NOX as NO2;Agde;9.0;9.2323020511058;34003;Agde;29612.0;20410.0;582.8;54.9;3.7;29.0;1731.0;68.7;5.1;24.0
NOX as NO2;Airvault;7.0;7.32002548065785;79005;Airvault;3295.0;21280.0;51.6;33.1;40.2;1.0;126.0;75.8;3.9;2.0
NOX as NO2;Aix-en-Provence;37.5;37.90362646262222;13001;Aix-en-Provence;147933.0;25810.0;795.0;60.9;4.7;48.0;8570.0;70.3;5.5;2.0
NOX as NO2;Albi;16.0;16.240347666971648;81004;Albi;50605.0;21650.0;1143.4;37.9;7.1;18.0;2393.0;68.1;3.4;1.0
NOX as NO2;Ambès;7.0;7.228952227094403;33004;Ambès;3291.0;20490.0;114.1;38.0;40.9;0.0;82.0;77.0;4.3;0.0
NOX as NO2;Amiens;22.0;21.582716627634692;80021;Amiens;134780.0;19650.0;2708.6;35.2;10.1;19.0;4194.0;66.2;2.8;1.0
NOX as NO2;Angers;24.333333333333332;24.017051983639504;49007;Angers;157555.0;21450.0;3688.9;43.8;3.4;26.0;5387.0;69.9;1.7;1.0
NOX as NO2;Anglet;33.0;33.01335174953961;64024;Anglet;42288.0;25060.0;1570.3;55.3;12.5;9.0;2040.0;74.5;8.6;1.0
NOX as NO2;Angoulême;41.5;41.53199585207375;16015;Angoulême;41423.0;19830.0;1895.8;36.8;9.1;12.0;1871.0;72.6;2.8;0.0
NOX as NO2;Antibes;39.0;38.71917651106781;6004;Antibes;76612.0;24410.0;2893.2;53.0;6.8;61.0;3754.0;77.7;5.2;5.0
NOX as NO2;Argenteuil;34.0;33.534326074161214;95018;Argenteuil;107135.0;19350.0;6221.5;41.8;9.5;5.0;3062.0;73.2;10.4;0.0
NOX as NO2;Arles;20.0;20.45866434378621;13004;Arles;51156.0;20060.0;67.4;45.4;4.7;43.0;2348.0;68.4;4.7;5.0
NOX as NO2;Atton;19.0;19.494452167319512;54027;Atton;899.0;25000.0;58.5;66.6;12.9;0.0;57.0;80.6;14.8;0.0
NOX as NO2;Aubagne;19.0;19.129528943051408;13005;Aubagne;47724.0;22550.0;869.3;51.5;15.4;5.0;2543.0;73.8;5.3;1.0
NOX as NO2;Aubervilliers;40.0;40.33889838788463;93001;Aubervilliers;89489.0;15330.0;15536.3;65.5;9.1;4.0;3914.0;69.5;6.9;0.0
NOX as NO2;Avignon;58.666666666666664;58.795792580212755;84007;Avignon;91760.0;17690.0;1413.6;42.5;6.4;44.0;5020.0;68.3;3.0;3.0
NOX as NO2;Aytré;10.0;9.61411791801012;17028;Aytré;9759.0;22830.0;798.6;42.8;27.9;3.0;536.0;78.4;11.8;1.0
NOX as NO2;Baie-Mahault;11.0;11.210508670520204;97103;;;;;;;;;;;
NOX as NO2;Basse-Terre;43.0;42.72397506593144;97105;;;;;;;;;;;
NOX as NO2;Bassens;16.0;16.07532860300107;33032;Bassens;8132.0;21280.0;791.1;58.5;26.6;1.0;261.0;80.4;6.3;0.0
NOX as NO2;Baume-les-Dames;21.0;20.746125851138764;25047;Baume-les-Dames;5064.0;21910.0;204.3;44.9;7.0;2.0;237.0;77.6;4.8;1.0
NOX as NO2;Bayonne;18.0;18.01730545876888;64102;Bayonne;53312.0;21780.0;2459.0;43.7;4.8;20.0;2754.0;76.0;4.2;0.0
NOX as NO2;Beauvais;51.0;51.297525388117336;60057;Beauvais;55906.0;19520.0;1678.4;34.5;11.9;14.0;2240.0;68.3;4.3;0.0
NOX as NO2;Belfort;36.0;36.39277080695277;90010;Belfort;45646.0;18850.0;2669.4;42.6;13.0;13.0;1622.0;69.5;1.9;1.0
NOX as NO2;Besançon;26.0;25.885085655928265;25056;Besançon;120057.0;20680.0;1845.6;33.9;9.0;23.0;4258.0;68.3;1.3;0.0
NOX as NO2;Biarritz;14.0;13.64568904593637;64122;Biarritz;25810.0;25640.0;2213.6;67.4;5.5;48.0;2065.0;75.1;4.1;1.0
NOX as NO2;Billère;15.0;15.001607080470468;64129;Billère;14037.0;21380.0;3071.6;52.3;6.9;0.0;320.0;75.6;4.7;0.0
NOX as NO2;Blagnac;28.0;28.16747800251399;31069;Blagnac;27314.0;25350.0;1618.1;57.5;31.5;15.0;1279.0;80.3;1.5;0.0
NOX as NO2;Blois;27.0;26.96730618815376;41018;Blois;47092.0;19360.0;1257.1;39.6;10.1;21.0;1968.0;69.7;3.9;0.0
NOX as NO2;Bobigny;35.0;34.89156035328748;93008;Bobigny;55270.0;16330.0;8164.0;23.4;3.4;3.0;1840.0;64.3;4.4;0.0
