polluant;ville;valeur;valeur_brute;codgeo;nom_commune;population_2022;mediane_niveau_vie_2021;densite_population_2022;part_commerce_transport_services_2023;part_industrie_2023;nb_hotels_2022;nb_etablissements_2023;taux_activite_2022;part_construction_2023;nb_campings_2022
O3;Agde;67.0;67.48597637885578;34003;Agde;29612.0;20410.0;582.8;54.9;3.7;29.0;1731.0;68.7;5.1;24.0
O3;Airvault;61.0;60.57005523563296;79005;Airvault;3295.0;21280.0;51.6;33.1;40.2;1.0;126.0;75.8;3.9;2.0
O3;Aix-en-Provence;60.0;60.14906071019471;13001;Aix-en-Provence;147933.0;25810.0;795.0;60.9;4.7;48.0;8570.0;70.3;5.5;2.0
O3;Albertville;47.0;47.00900365630697;73011;Albertville;19706.0;20680.0;1123.5;48.5;6.6;8.0;1041.0;74.6;7.0;1.0
O3;Ambès;58.0;58.22704409738161;33004;Ambès;3291.0;20490.0;114.1;38.0;40.9;0.0;82.0;77.0;4.3;0.0
O3;Amiens;46.0;46.097471614187064;80021;Amiens;134780.0;19650.0;2708.6;35.2;10.1;19.0;4194.0;66.2;2.8;1.0
O3;Angers;59.0;58.61301700367641;49007;Angers;157555.0;21450.0;3688.9;43.8;3.4;26.0;5387.0;69.9;1.7;1.0
O3;Angoulême;53.0;53.06249562273846;16015;Angoulême;41423.0;19830.0;1895.8;36.8;9.1;12.0;1871.0;72.6;2.8;0.0
O3;Annecy;50.0;49.964494994772636;74010;Annecy;131272.0;26250.0;1961.3;49.7;11.0;45.0;6117.0;79.6;5.6;2.0
O3;Annemasse;53.0;52.80526619702029;74012;Annemasse;37595.0;22800.0;7549.2;56.2;5.8;8.0;1339.0;77.5;3.4;0.0
O3;Antibes;56.0;55.77617848970251;6004;Antibes;76612.0;24410.0;2893.2;53.0;6.8;61.0;3754.0;77.7;5.2;5.0
O3;Apt;61.0;60.79608069164272;84003;Apt;10297.0;18860.0;231.0;40.3;21.6;8.0;639.0;70.4;8.4;3.0
O3;Arles;62.0;62.26242816970285;13004;Arles;51156.0;20060.0;67.4;45.4;4.7;43.0;2348.0;68.4;4.7;5.0
O3;Arrest;57.0;56.54656654820593;80029;Arrest;825.0;20660.0;74.0;22.3;65.5;0.0;12.0;73.2;2.2;0.0
O3;Aubagne;67.0;66.54851303249511;13005;Aubagne;47724.0;22550.0;869.3;51.5;15.4;5.0;2543.0;73.8;5.3;1.0
O3;Aurillac;64.0;64.05578790995325;15014;Aurillac;26189.0;21860.0;910.6;39.6;9.2;12.0;1588.0;71.4;4.7;1.0
O3;Auxerre;58.0;58.167225216780096;89024;Auxerre;35236.0;20340.0;705.4;40.9;7.0;10.0;1691.0;72.0;2.6;1.0
O3;Avignon;61.0;60.93608010127745;84007;Avignon;91760.0;17690.0;1413.6;42.5;6.4;44.0;5020.0;68.3;3.0;3.0
O3;Aytré;60.0;59.50691085003455;17028;Aytré;9759.0;22830.0;798.6;42.8;27.9;3.0;536.0;78.4;11.8;1.0
O3;Baie-Mahault;23.0;22.941315578004826;97103;;;;;;;;;;;
O3;Basse-Terre;27.0;26.81573455270249;97105;;;;;;;;;;;
O3;Bassens;57.0;57.41009802763671;33032;Bassens;8132.0;21280.0;791.1;58.5;26.6;1.0;261.0;80.4;6.3;0.0
O3;Bayonne;54.0;54.211410241722966;64102;Bayonne;53312.0;21780.0;2459.0;43.7;4.8;20.0;2754.0;76.0;4.2;0.0
O3;Beautheil-Saints;53.0;52.83371095090973;77433;Beautheil-Saints;2064.0;26270.0;53.7;33.6;5.7;0.0;46.0;77.8;15.6;0.0
O3;Berre-l'Étang;66.0;66.1762232862315;13014;Berre-l'Étang;13941.0;20370.0;319.5;45.2;19.1;1.0;461.0;74.1;14.7;0.0
O3;Besançon;60.0;59.88251901359758;25056;Besançon;120057.0;20680.0;1845.6;33.9;9.0;23.0;4258.0;68.3;1.3;0.0
O3;Beuil;79.0;78.5814120370371;6016;Beuil;553.0;21720.0;7.3;59.3;3.7;2.0;25.0;73.2;5.6;1.0
O3;Biarritz;64.0;63.90196790441592;64122;Biarritz;25810.0;25640.0;2213.6;67.4;5.5;48.0;2065.0;75.1;4.1;1.0
O3;Billère;55.0;54.66011911579414;64129;Billère;14037.0;21380.0;3071.6;52.3;6.9;0.0;320.0;75.6;4.7;0.0
O3;Blois;61.0;60.70355794531525;41018;Blois;47092.0;19360.0;1257.1;39.6;10.1;21.0;1968.0;69.7;3.9;0.0
O3;Bordeaux;56.0;56.24961454378108;33063;Bordeaux;265328.0;24870.0;5375.4;50.4;4.1;85.0;14548.0;73.5;1.9;0.0
O3;Bouaye;62.0;62.35889845094665;44018;Bouaye;8281.0;25390.0;598.8;34.1;11.7;2.0;240.0;79.1;9.8;0.0
O3;Bouchemaine;59.0;59.43006416131985;49035;Bouchemaine;6635.0;28850.0;334.9;27.5;11.4;0.0;149.0;76.5;8.1;1.0
O3;Bourg-en-Bresse;57.0;56.73389106854363;1053;Bourg-en-Bresse;42065.0;20210.0;1763.0;38.7;10.2;9.0;2051.0;70.5;2.8;0.0
O3;Bourges;54.0;53.91488409456052;18033;Bourges;64238.0;21730.0;934.5;40.3;13.8;17.0;2326.0;71.2;3.4;1.0
O3;Bourgoin-Jallieu;56.0;55.507373046875045;38053;Bourgoin-Jallieu;29816.0;20870.0;1223.5;42.3;11.4;3.0;1404.0;76.2;4.5;0.0
O3;Brest;62.0;62.20512672811064;29019;Brest;140993.0;21420.0;2847.8;41.9;11.8;25.0;4160.0;69.0;3.3;1.0
O3;Brignoles;66.0;66.12414385522847;83023;Brignoles;17846.0;19980.0;253.0;51.0;6.9;7.0;1028.0;72.2;6.1;0.0
O3;Brive-la-Gaillarde;47.0;46.80350714202763;19031;Brive-la-Gaillarde;46769.0;21210.0;962.5;44.8;14.8;21.0;2265.0;73.5;5.3;0.0
O3;Bures-en-Bray;57.0;56.81868408986711;76148;Bures-en-Bray;315.0;21380.0;28.7;10.8;66.2;0.0;9.0;78.5;13.8;0.0
O3;Bélesta-en-Lauragais;67.0;67.032979337412;31060;Bélesta-en-Lauragais;112.0;22770.0;20.0;0.0;85.2;0.0;4.0;81.5;0.0;0.0
O3;Bétheny;54.0;54.45376502330141;51055;Bétheny;7030.0;24450.0;353.3;53.9;9.1;1.0;228.0;77.5;20.9;0.0
O3;Béthune;54.0;54.494526257293714;62119;Béthune;25342.0;19290.0;2678.9;37.7;8.8;5.0;1106.0;69.1;2.1;0.0
O3;Caen;55.0;54.745614644884654;14118;Caen;108398.0;21600.0;4217.8;35.6;2.3;32.0;4516.0;66.2;1.6;0.0
O3;Calais;55.0;54.58805046706296;62193;Calais;67585.0;18090.0;2017.5;40.5;10.3;15.0;1742.0;67.7;3.4;1.0
O3;Campagne-lès-Boulonnais;63.0;63.01771391247538;62202;Campagne-lès-Boulonnais;675.0;20260.0;50.8;5.0;4.1;0.0;13.0;78.4;2.5;0.0
O3;Cannes;66.0;66.4138175985335;6029;Cannes;74040.0;21210.0;3773.7;59.0;7.4;91.0;4759.0;73.5;2.6;1.0
O3;Cappelle-la-Grande;54.0;53.72838184931455;59131;Cappelle-la-Grande;7865.0;20700.0;1440.5;42.8;12.8;0.0;122.0;72.9;14.9;0.0
O3;Carpentras;64.0;63.67402656894178;84031;Carpentras;30854.0;18780.0;813.7;41.0;9.9;7.0;1363.0;72.4;5.3;1.0
O3;Cartignies;55.0;55.00976976489219;59134;Cartignies;1234.0;21380.0;46.7;30.1;9.7;0.0;29.0;77.4;7.8;0.0
O3;Castres;60.0;60.42521105585776;81065;Castres;42700.0;20940.0;435.0;45.2;11.8;11.0;1639.0;72.0;4.6;1.0
O3;Cergy;54.0;53.92962962962968;95127;Cergy;69578.0;20270.0;5972.4;38.7;8.2;10.0;2029.0;71.2;6.5;0.0
O3;Cerisé;57.0;57.01336201883935;61077;Cerisé;853.0;21400.0;193.0;77.2;6.3;1.0;67.0;72.3;7.3;0.0
O3;Chambéry;54.0;53.89330783989257;73065;Chambéry;60251.0;21950.0;2870.5;40.0;8.4;19.0;2774.0;72.7;2.8;0.0
O3;Chamonix-Mont-Blanc;39.0;38.7374381333962;74056;Chamonix-Mont-Blanc;8673.0;24310.0;74.4;80.7;3.5;50.0;925.0;84.1;1.2;11.0
O3;Champ-sur-Drac;50.0;49.53696377228298;38071;Champ-sur-Drac;3344.0;24940.0;374.9;19.6;62.8;0.0;74.0;77.6;8.2;0.0
O3;Champforgeuil;52.0;51.783821080180815;71081;Champforgeuil;2616.0;20630.0;358.8;34.0;46.9;1.0;97.0;75.5;7.0;0.0
O3;Champigny-sur-Marne;43.0;43.36696552790224;94017;Champigny-sur-Marne;78367.0;21260.0;6935.1;37.4;9.1;2.0;1935.0;73.9;16.5;1.0
O3;Chanceaux-sur-Choisille;60.0;59.841867224741215;37054;Chanceaux-sur-Choisille;3509.0;25710.0;190.0;58.1;2.1;0.0;93.0;77.6;30.6;0.0
O3;Charleville-Mézières;50.0;50.44118189148718;8105;Charleville-Mézières;45634.0;18380.0;1451.5;34.6;8.2;11.0;1735.0;68.6;1.7;1.0
O3;Chartres;57.0;56.78103586570408;28085;Chartres;37990.0;22770.0;2254.6;43.5;16.4;16.0;1870.0;76.5;1.4;0.0
O3;Cherbourg-en-Cotentin;61.0;61.00117536436302;50129;Cherbourg-en-Cotentin;78028.0;22650.0;1138.4;41.7;19.4;23.0;2165.0;74.7;3.4;4.0
O3;Cholet;59.0;59.16091585575277;49099;Cholet;54074.0;21960.0;618.2;40.1;26.1;18.0;2258.0;76.5;4.4;1.0
