polluant;ville;valeur;valeur_brute;codgeo;nom_commune;population_2022;mediane_niveau_vie_2021;densite_population_2022;part_commerce_transport_services_2023;part_industrie_2023;nb_hotels_2022;nb_etablissements_2023;taux_activite_2022;part_construction_2023;nb_campings_2022
PM10;Airvault;16.0;15.78288342092687;79005;Airvault;3295.0;21280.0;51.6;33.1;40.2;1.0;126.0;75.8;3.9;2.0
PM10;Aix-en-Provence;21.5;21.357754890346126;13001;Aix-en-Provence;147933.0;25810.0;795.0;60.9;4.7;48.0;8570.0;70.3;5.5;2.0
PM10;Albertville;17.0;16.737634535777662;73011;Albertville;19706.0;20680.0;1123.5;48.5;6.6;8.0;1041.0;74.6;7.0;1.0
PM10;Albi;15.0;15.200095762508983;81004;Albi;50605.0;21650.0;1143.4;37.9;7.1;18.0;2393.0;68.1;3.4;1.0
PM10;Amiens;16.0;15.504319931565428;80021;Amiens;134780.0;19650.0;2708.6;35.2;10.1;19.0;4194.0;66.2;2.8;1.0
PM10;Angers;16.5;16.1501262761724;49007;Angers;157555.0;21450.0;3688.9;43.8;3.4;26.0;5387.0;69.9;1.7;1.0
PM10;Anglet;21.0;21.041137779829256;64024;Anglet;42288.0;25060.0;1570.3;55.3;12.5;9.0;2040.0;74.5;8.6;1.0
PM10;Angoulême;17.5;17.350810117918474;16015;Angoulême;41423.0;19830.0;1895.8;36.8;9.1;12.0;1871.0;72.6;2.8;0.0
PM10;Annecy;19.333333333333332;19.05406941894746;74010;Annecy;131272.0;26250.0;1961.3;49.7;11.0;45.0;6117.0;79.6;5.6;2.0
PM10;Annemasse;17.0;16.506914771422;74012;Annemasse;37595.0;22800.0;7549.2;56.2;5.8;8.0;1339.0;77.5;3.4;0.0
PM10;Arles;19.0;19.07415937356065;13004;Arles;51156.0;20060.0;67.4;45.4;4.7;43.0;2348.0;68.4;4.7;5.0
PM10;Arrest;21.0;20.50781850807463;80029;Arrest;825.0;20660.0;74.0;22.3;65.5;0.0;12.0;73.2;2.2;0.0
PM10;Aurillac;12.0;12.15972427375677;15014;Aurillac;26189.0;21860.0;910.6;39.6;9.2;12.0;1588.0;71.4;4.7;1.0
PM10;Auxerre;16.0;15.678350148367985;89024;Auxerre;35236.0;20340.0;705.4;40.9;7.0;10.0;1691.0;72.0;2.6;1.0
PM10;Avignon;25.0;24.861147504657982;84007;Avignon;91760.0;17690.0;1413.6;42.5;6.4;44.0;5020.0;68.3;3.0;3.0
PM10;Aytré;18.0;17.819795869926384;17028;Aytré;9759.0;22830.0;798.6;42.8;27.9;3.0;536.0;78.4;11.8;1.0
PM10;Baie-Mahault;22.0;22.41764705882358;97103;;;;;;;;;;;
PM10;Basse-Terre;22.0;22.45575721862112;97105;;;;;;;;;;;
PM10;Bassens;17.0;17.03426832179516;33032;Bassens;8132.0;21280.0;791.1;58.5;26.6;1.0;261.0;80.4;6.3;0.0
PM10;Baume-les-Dames;16.0;16.32775443510732;25047;Baume-les-Dames;5064.0;21910.0;204.3;44.9;7.0;2.0;237.0;77.6;4.8;1.0
PM10;Bayonne;14.0;13.874070138150827;64102;Bayonne;53312.0;21780.0;2459.0;43.7;4.8;20.0;2754.0;76.0;4.2;0.0
PM10;Beauvais;18.0;18.03530889000502;60057;Beauvais;55906.0;19520.0;1678.4;34.5;11.9;14.0;2240.0;68.3;4.3;0.0
PM10;Belfort;15.0;14.799019950997534;90010;Belfort;45646.0;18850.0;2669.4;42.6;13.0;13.0;1622.0;69.5;1.9;1.0
PM10;Besançon;16.0;15.505172813732306;25056;Besançon;120057.0;20680.0;1845.6;33.9;9.0;23.0;4258.0;68.3;1.3;0.0
PM10;Bessières;15.0;15.130624711848805;31066;Bessières;4238.0;23110.0;254.1;41.8;13.5;0.0;160.0;81.3;5.7;0.0
PM10;Biarritz;20.0;19.540945883441285;64122;Biarritz;25810.0;25640.0;2213.6;67.4;5.5;48.0;2065.0;75.1;4.1;1.0
PM10;Billère;16.0;15.751783870597713;64129;Billère;14037.0;21380.0;3071.6;52.3;6.9;0.0;320.0;75.6;4.7;0.0
PM10;Blagnac;17.0;16.59414476717382;31069;Blagnac;27314.0;25350.0;1618.1;57.5;31.5;15.0;1279.0;80.3;1.5;0.0
PM10;Blois;14.0;13.723921748083775;41018;Blois;47092.0;19360.0;1257.1;39.6;10.1;21.0;1968.0;69.7;3.9;0.0
PM10;Blénod-lès-Pont-à-Mousson;20.0;20.073335913312683;54079;Blénod-lès-Pont-à-Mousson;4649.0;20260.0;485.3;12.2;45.9;0.0;71.0;70.9;6.5;0.0
PM10;Bobigny;19.0;18.966625000000043;93008;Bobigny;55270.0;16330.0;8164.0;23.4;3.4;3.0;1840.0;64.3;4.4;0.0
PM10;Bordeaux;21.333333333333332;21.53266722554828;33063;Bordeaux;265328.0;24870.0;5375.4;50.4;4.1;85.0;14548.0;73.5;1.9;0.0
PM10;Bouguenais;18.0;17.61971881329677;44020;Bouguenais;20590.0;23740.0;653.7;45.9;26.3;3.0;595.0;77.5;8.7;0.0
PM10;Boulogne-sur-Mer;22.0;21.75453791960205;62160;Boulogne-sur-Mer;41039.0;17720.0;4874.0;31.3;13.0;12.0;1430.0;69.4;2.5;0.0
PM10;Bourg-en-Bresse;14.0;13.532042755344404;1053;Bourg-en-Bresse;42065.0;20210.0;1763.0;38.7;10.2;9.0;2051.0;70.5;2.8;0.0
PM10;Bourg-lès-Valence;20.0;19.930459437565137;26058;Bourg-lès-Valence;19872.0;22050.0;978.9;43.7;24.8;7.0;592.0;77.0;9.6;0.0
PM10;Bourges;14.0;13.876315777263144;18033;Bourges;64238.0;21730.0;934.5;40.3;13.8;17.0;2326.0;71.2;3.4;1.0
PM10;Bourgoin-Jallieu;16.0;15.709207630227455;38053;Bourgoin-Jallieu;29816.0;20870.0;1223.5;42.3;11.4;3.0;1404.0;76.2;4.5;0.0
PM10;Brest;20.5;20.869246918439444;29019;Brest;140993.0;21420.0;2847.8;41.9;11.8;25.0;4160.0;69.0;3.3;1.0
PM10;Brignoles;18.0;17.93677652265049;83023;Brignoles;17846.0;19980.0;253.0;51.0;6.9;7.0;1028.0;72.2;6.1;0.0
PM10;Brive-la-Gaillarde;16.0;16.158278799851853;19031;Brive-la-Gaillarde;46769.0;21210.0;962.5;44.8;14.8;21.0;2265.0;73.5;5.3;0.0
PM10;Bétheny;17.0;16.822734093637447;51055;Bétheny;7030.0;24450.0;353.3;53.9;9.1;1.0;228.0;77.5;20.9;0.0
PM10;Béthune;18.0;18.44021558872303;62119;Béthune;25342.0;19290.0;2678.9;37.7;8.8;5.0;1106.0;69.1;2.1;0.0
