polluant;ville;valeur;valeur_brute;codgeo;population_2022;mediane_niveau_vie_2021;densite_population_2022;part_commerce_transport_services_2023;part_industrie_2023;nb_hotels_2022;nb_etablissements_2023;taux_activite_2022;part_construction_2023;nb_campings_2022
PM2.5;Aix-en-Provence;9.0;9.49083044982704;13001;147933.0;25810.0;795.0;60.9;4.7;48.0;8570.0;70.3;5.5;2.0
PM2.5;Albertville;10.0;9.862743938497928;73011;19706.0;20680.0;1123.5;48.5;6.6;8.0;1041.0;74.6;7.0;1.0
PM2.5;Amiens;10.0;10.425031495377747;80021;134780.0;19650.0;2708.6;35.2;10.1;19.0;4194.0;66.2;2.8;1.0
PM2.5;Angers;10.0;10.0408193883439;49007;157555.0;21450.0;3688.9;43.8;3.4;26.0;5387.0;69.9;1.7;1.0
PM2.5;Angoulême;9.0;9.276736915238526;16015;41423.0;19830.0;1895.8;36.8;9.1;12.0;1871.0;72.6;2.8;0.0
PM2.5;Annecy;11.0;11.189758064516134;74010;131272.0;26250.0;1961.3;49.7;11.0;45.0;6117.0;79.6;5.6;2.0
PM2.5;Arles;11.0;10.879594656840212;13004;51156.0;20060.0;67.4;45.4;4.7;43.0;2348.0;68.4;4.7;5.0
PM2.5;Arrest;10.0;10.046253991648255;80029;825.0;20660.0;74.0;22.3;65.5;0.0;12.0;73.2;2.2;0.0
PM2.5;Aurillac;7.0;7.076575578532742;15014;26189.0;21860.0;910.6;39.6;9.2;12.0;1588.0;71.4;4.7;1.0
PM2.5;Auxerre;7.0;7.45662578162576;89024;35236.0;20340.0;705.4;40.9;7.0;10.0;1691.0;72.0;2.6;1.0
PM2.5;Avignon;17.0;17.298428963031103;84007;91760.0;17690.0;1413.6;42.5;6.4;44.0;5020.0;68.3;3.0;3.0
PM2.5;Basse-Terre;5.0;5.259721203228168;97105;;;;;;;;;;
PM2.5;Bassens;7.0;7.205455407969636;33032;8132.0;21280.0;791.1;58.5;26.6;1.0;261.0;80.4;6.3;0.0
PM2.5;Baume-les-Dames;9.0;9.334584702017816;25047;5064.0;21910.0;204.3;44.9;7.0;2.0;237.0;77.6;4.8;1.0
PM2.5;Beauvais;12.0;12.24410640331316;60057;55906.0;19520.0;1678.4;34.5;11.9;14.0;2240.0;68.3;4.3;0.0
PM2.5;Besançon;9.0;8.597721989772225;25056;120057.0;20680.0;1845.6;33.9;9.0;23.0;4258.0;68.3;1.3;0.0
PM2.5;Biarritz;7.0;7.400119104335389;64122;25810.0;25640.0;2213.6;67.4;5.5;48.0;2065.0;75.1;4.1;1.0
PM2.5;Billère;10.0;9.693266031891731;64129;14037.0;21380.0;3071.6;52.3;6.9;0.0;320.0;75.6;4.7;0.0
PM2.5;Blois;8.5;8.52636256374487;41018;47092.0;19360.0;1257.1;39.6;10.1;21.0;1968.0;69.7;3.9;0.0
PM2.5;Bobigny;10.0;10.338562403146998;93008;55270.0;16330.0;8164.0;23.4;3.4;3.0;1840.0;64.3;4.4;0.0
PM2.5;Bordeaux;12.0;11.556668978270936;33063;265328.0;24870.0;5375.4;50.4;4.1;85.0;14548.0;73.5;1.9;0.0
PM2.5;Bouguenais;10.0;9.584498705142432;44020;20590.0;23740.0;653.7;45.9;26.3;3.0;595.0;77.5;8.7;0.0
PM2.5;Boulogne-sur-Mer;10.0;10.115443829684905;62160;41039.0;17720.0;4874.0;31.3;13.0;12.0;1430.0;69.4;2.5;0.0
PM2.5;Bourg-en-Bresse;9.0;8.65556347227169;1053;42065.0;20210.0;1763.0;38.7;10.2;9.0;2051.0;70.5;2.8;0.0
PM2.5;Bourg-lès-Valence;10.0;9.532672343403709;26058;19872.0;22050.0;978.9;43.7;24.8;7.0;592.0;77.0;9.6;0.0
PM2.5;Bourges;9.0;8.939930955120802;18033;64238.0;21730.0;934.5;40.3;13.8;17.0;2326.0;71.2;3.4;1.0
PM2.5;Brest;8.0;7.618566432192168;29019;140993.0;21420.0;2847.8;41.9;11.8;25.0;4160.0;69.0;3.3;1.0
PM2.5;Béthune;12.0;12.208933200398803;62119;25342.0;19290.0;2678.9;37.7;8.8;5.0;1106.0;69.1;2.1;0.0
PM2.5;Caen;9.0;8.680655172413788;14118;108398.0;21600.0;4217.8;35.6;2.3;32.0;4516.0;66.2;1.6;0.0
PM2.5;Calais;9.0;9.275838276237735;62193;67585.0;18090.0;2017.5;40.5;10.3;15.0;1742.0;67.7;3.4;1.0
PM2.5;Campagne-lès-Boulonnais;10.0;10.32446493249917;62202;675.0;20260.0;50.8;5.0;4.1;0.0;13.0;78.4;2.5;0.0
PM2.5;Cannes;10.0;10.0178086956522;6029;74040.0;21210.0;3773.7;59.0;7.4;91.0;4759.0;73.5;2.6;1.0
PM2.5;Cartignies;8.0;8.06337354409315;59134;1234.0;21380.0;46.7;30.1;9.7;0.0;29.0;77.4;7.8;0.0
PM2.5;Cerisé;9.0;8.62445884940383;61077;853.0;21400.0;193.0;77.2;6.3;1.0;67.0;72.3;7.3;0.0
PM2.5;Chalon-sur-Saône;10.0;9.767499416296964;71076;44592.0;19590.0;2929.8;41.3;17.0;13.0;1901.0;75.1;1.9;0.0
PM2.5;Chambéry;11.0;11.05030937648737;73065;60251.0;21950.0;2870.5;40.0;8.4;19.0;2774.0;72.7;2.8;0.0
