Date de début,Date de fin,Organisme,code zas,Zas,code site,nom site,type d'implantation,Polluant,type d'influence,Réglementaire,type d'évaluation,type de valeur,valeur,valeur brute,unité de mesure,taux de saisie,couverture temporelle,couverture de données,code qualité,validité,Latitude,Longitude,Ville
2022/01/01 00:00:00,2022/12/31 23:59:59,ATMO GRAND EST,FR44ZAG02,ZAG METZ,FR01011,Metz-Centre,Urbaine,O3,Fond,Oui,mesures fixes,Moy. annuelle,51.0,50.61413120988826,µg-m3,,,,R,1,49.119442,6.180833,Metz
2022/01/01 00:00:00,2022/12/31 23:59:59,ATMO GRAND EST,FR44ZAG02,ZAG METZ,FR01018,Scy-Chazelles,Périurbaine,O3,Fond,Oui,mesures fixes,Moy. annuelle,54.0,53.926047444824746,µg-m3,,,,R,1,49.107502,6.122775,Scy-Chazelles
2022/01/01 00:00:00,2022/12/31 23:59:59,ATMO GRAND EST,FR44ZAG02,ZAG METZ,FR01020,Thionville-Centre,Urbaine,O3,Fond,Oui,mesures fixes,Moy. annuelle,53.0,53.33349240236088,µg-m3,,,,R,1,49.358337,6.156942,Thionville
2022/01/01 00:00:00,2022/12/31 23:59:59,ATMO GRAND EST,FR44ZAG02,ZAG METZ,FR01021,Thionville-Garche,Périurbaine,O3,Fond,Oui,mesures fixes,Moy. annuelle,57.0,56.85608928338337,µg-m3,,,,R,1,49.394444,6.201392,Thionville
2022/01/01 00:00:00,2022/12/31 23:59:59,ATMO SUD,FR93ZAG01,ZAG MARSEILLE-AIX,FR02001,Berre l'Etang,Périurbaine,O3,Fond,Oui,mesures fixes,Moy. annuelle,66.0,66.1762232862315,µg-m3,,,,R,1,43.486234,5.171939,Berre-l'Étang
2022/01/01 00:00:00,2022/12/31 23:59:59,ATMO SUD,FR93ZAG01,ZAG MARSEILLE-AIX,FR02004,Martigues P. Central,Urbaine,O3,Fond,Oui,mesures fixes,Moy. annuelle,74.0,74.01480549199084,µg-m3,,,,R,1,43.416661,5.042731,Martigues
2022/01/01 00:00:00,2022/12/31 23:59:59,ATMO SUD,FR93ZAG01,ZAG MARSEILLE-AIX,FR02012,Istres,Urbaine,O3,Fond,Oui,mesures fixes,Moy. annuelle,65.0,65.11177915545687,µg-m3,,,,R,1,43.506149,4.982898,Istres
2022/01/01 00:00:00,2022/12/31 23:59:59,ATMO SUD,FR93ZAG01,ZAG MARSEILLE-AIX,FR02021,Sausset les Pins,Périurbaine,O3,Fond,Oui,mesures fixes,Moy. annuelle,73.0,73.44703017343791,µg-m3,,,,R,1,43.331245,5.117696,Sausset-les-Pins
2022/01/01 00:00:00,2022/12/31 23:59:59,ATMO SUD,FR93ZRE02,ZR PROVENCE-ALPES-COTE-D-AZUR,FR02022,Arles,Urbaine,O3,Fond,Oui,mesures fixes,Moy. annuelle,62.0,62.26242816970285,µg-m3,,,,R,1,43.675114,4.62921,Arles
2022/01/01 00:00:00,2022/12/31 23:59:59,ATMO SUD,FR93ZAG01,ZAG MARSEILLE-AIX,FR02041,SALON,Urbaine,O3,Fond,Oui,mesures fixes,Moy. annuelle,65.0,65.00077972709552,µg-m3,,,,R,1,43.639002,5.101097,Salon-de-Provence
2022/01/01 00:00:00,2022/12/31 23:59:59,ATMO SUD,FR93ZRE02,ZR PROVENCE-ALPES-COTE-D-AZUR,FR03027,PLAN AUPS/STE  BAUME,Rurale près des villes,O3,Fond,Oui,mesures fixes,Moy. annuelle,84.0,83.55530468840013,µg-m3,,,,R,1,43.335201,5.727365,Plan-d'Aups-Sainte-Baume
2022/01/01 00:00:00,2022/12/31 23:59:59,ATMO SUD,FR93ZAG01,ZAG MARSEILLE-AIX,FR03032,AUBAGNE LES PASSONS,Urbaine,O3,Fond,Oui,mesures fixes,Moy. annuelle,67.0,66.54851303249511,µg-m3,,,,R,1,43.293138,5.574184,Aubagne
2022/01/01 00:00:00,2022/12/31 23:59:59,ATMO SUD,FR93ZAG01,ZAG MARSEILLE-AIX,FR03037,VALLEE HUVEAUNE,Périurbaine,O3,Fond,Oui,mesures fixes,Moy. annuelle,54.0,53.81782339904344,µg-m3,,,,R,1,43.283341,5.511384,La Penne-sur-Huveaune
2022/01/01 00:00:00,2022/12/31 23:59:59,ATMO SUD,FR93ZAG01,ZAG MARSEILLE-AIX,FR03043,MARSEILLE 5 AVENUES,Urbaine,O3,Fond,Oui,mesures fixes,Moy. annuelle,58.0,57.908698163335984,µg-m3,,,,R,1,43.305287,5.394716,Marseille
