code_geo,libelle,part_commerce_transport_services_2023,population_2022,nb_etablissements_2023,densite_population_2022,taux_activite_2022,mediane_niveau_vie_2021,part_industrie_2023,part_construction_2023,nb_hotels_2022,nb_campings_2022
1001,L'Abergement-Clémenciat,19.2,859.0,16.0,53.9,82.1,25820.0,0.0,30.8,0.0,0.0
1002,L'Abergement-de-Varey,50.0,273.0,4.0,29.8,80.1,24480.0,0.0,0.0,0.0,0.0
1004,Ambérieu-en-Bugey,54.6,15554.0,599.0,632.3,76.7,21660.0,7.5,6.0,1.0,0.0
1005,Ambérieux-en-Dombes,27.9,1917.0,45.0,120.4,81.3,24610.0,19.8,15.2,2.0,1.0
1006,Ambléon,0.0,114.0,1.0,19.4,70.8,24210.0,0.0,0.0,0.0,0.0
1007,Ambronay,42.0,2828.0,73.0,84.3,80.2,24860.0,20.7,7.3,0.0,0.0
1008,Ambutrix,77.6,764.0,22.0,146.4,79.7,26300.0,0.0,7.9,0.0,0.0
1009,Andert-et-Condon,40.0,335.0,5.0,48.3,81.2,24810.0,40.0,0.0,0.0,0.0
1010,Anglefort,6.8,1150.0,19.0,39.3,76.4,24700.0,74.4,7.2,1.0,0.0
1011,Apremont,21.4,399.0,6.0,27.4,82.1,24530.0,7.1,0.0,0.0,0.0
1012,Aranc,13.0,329.0,8.0,15.2,80.4,24270.0,56.5,4.3,1.0,0.0
1013,Arandas,0.0,140.0,4.0,9.9,77.9,22180.0,0.0,0.0,0.0,0.0
1014,Arbent,44.5,3482.0,249.0,148.2,76.4,22410.0,34.4,4.8,1.0,0.0
1015,Arboys en Bugey,20.0,688.0,15.0,30.6,82.2,23800.0,20.0,6.7,0.0,0.0
1016,Arbigny,18.5,459.0,7.0,26.3,84.1,23080.0,29.6,14.8,1.0,0.0
1017,Argis,57.4,420.0,12.0,53.6,72.4,20790.0,21.3,4.3,0.0,0.0
1019,Armix,0.0,25.0,1.0,3.7,86.7,,0.0,0.0,0.0,0.0
1021,Ars-sur-Formans,59.2,1513.0,37.0,275.1,78.9,26430.0,8.5,5.4,1.0,1.0
1022,Artemare,55.9,1141.0,48.0,304.3,77.3,22000.0,1.4,8.1,1.0,1.0
1023,Asnières-sur-Saône,0.0,77.0,4.0,16.5,75.5,,0.0,0.0,0.0,0.0
1024,Attignat,69.8,3372.0,82.0,180.4,83.1,24460.0,19.1,3.4,1.0,0.0
1025,Bâgé-Dommartin,53.6,4057.0,65.0,71.3,80.0,24880.0,8.1,4.7,0.0,0.0
1026,Bâgé-le-Châtel,19.8,987.0,37.0,1121.6,83.5,22860.0,3.4,1.5,0.0,0.0
1027,Balan,29.2,2878.0,70.0,159.5,78.4,25770.0,50.4,7.6,0.0,0.0
1028,Baneins,41.7,618.0,13.0,69.4,81.5,25520.0,0.0,11.1,0.0,0.0
1029,Beaupont,9.9,717.0,17.0,51.0,76.9,21350.0,17.0,0.0,0.0,0.0
1030,Beauregard,74.6,826.0,15.0,878.7,80.1,24240.0,1.7,5.1,0.0,0.0
1031,Bellignat,36.3,3581.0,183.0,457.3,69.5,20550.0,46.6,3.3,2.0,0.0
1032,Béligneux,41.7,3484.0,108.0,262.0,80.5,23060.0,23.1,18.0,0.0,0.0
1033,Valserhône,38.9,16162.0,521.0,258.5,77.1,23780.0,15.4,14.6,6.0,0.0
1034,Belley,26.0,9270.0,411.0,413.5,73.9,21180.0,31.4,4.8,1.0,0.0
1035,Belleydoux,6.7,306.0,7.0,17.4,80.1,26160.0,33.3,26.7,0.0,0.0
1036,Valromey-sur-Séran,31.9,1350.0,20.0,23.8,76.6,23820.0,6.4,17.0,0.0,0.0
1037,Bénonces,7.7,311.0,7.0,20.3,78.5,21770.0,7.7,30.8,0.0,0.0
1038,Bény,22.2,769.0,13.0,42.1,80.9,24250.0,0.0,18.5,0.0,0.0
1040,Béréziat,45.5,481.0,8.0,44.4,82.3,23440.0,0.0,0.0,0.0,0.0
1041,Bettant,63.6,762.0,10.0,226.1,82.0,25150.0,0.0,9.1,0.0,0.0
1042,Bey,76.9,290.0,3.0,104.7,82.6,25520.0,0.0,0.0,0.0,0.0
1043,Beynost,57.3,4936.0,331.0,463.9,78.5,28730.0,25.6,11.7,2.0,0.0
1044,Billiat,18.9,669.0,14.0,48.8,84.2,28550.0,16.2,32.4,1.0,0.0
1045,Birieux,6.2,280.0,6.0,17.7,85.6,28180.0,0.0,6.2,0.0,0.0
1046,Biziat,23.4,897.0,21.0,78.8,81.7,24260.0,0.0,35.9,0.0,0.0
1047,Blyes,34.1,1351.0,78.0,145.0,84.9,27110.0,54.0,3.5,1.0,0.0
1049,La Boisse,39.7,3401.0,112.0,361.8,78.0,26780.0,44.6,4.4,1.0,0.0
1050,Boissey,14.8,390.0,7.0,43.1,81.1,23180.0,7.4,11.1,0.0,0.0
1051,Bolozon,0.0,99.0,1.0,20.1,75.9,,0.0,0.0,0.0,0.0
1052,Bouligneux,26.7,323.0,11.0,12.4,78.0,27630.0,0.0,40.0,0.0,0.0
1053,Bourg-en-Bresse,38.7,42065.0,2051.0,1763.0,70.5,20210.0,10.2,2.8,9.0,0.0
1054,Bourg-Saint-Christophe,18.4,1540.0,18.0,171.5,84.1,27320.0,0.0,24.5,0.0,0.0
1056,Boyeux-Saint-Jérôme,0.0,362.0,11.0,21.4,83.4,21640.0,15.8,0.0,0.0,0.0
1057,Boz,6.3,509.0,17.0,69.6,79.9,24300.0,89.0,1.6,0.0,0.0
1058,Brégnier-Cordon,26.1,812.0,28.0,73.8,79.1,23420.0,54.5,2.8,0.0,1.0
1060,Brénod,20.0,547.0,16.0,23.0,85.7,24970.0,8.9,22.2,0.0,0.0
1061,Brens,25.4,1117.0,17.0,161.9,77.6,25110.0,35.8,10.4,0.0,0.0
1062,Bressolles,22.0,1003.0,24.0,129.8,81.8,28710.0,56.0,13.2,0.0,0.0
1063,Brion,34.8,591.0,29.0,131.9,79.4,25400.0,47.0,12.9,0.0,0.0
1064,Briord,19.0,1102.0,24.0,89.7,80.6,23440.0,66.9,1.1,0.0,0.0
1065,Buellas,34.7,1884.0,31.0,184.5,81.2,26810.0,2.7,36.7,1.0,0.0
1066,La Burbanche,40.0,97.0,3.0,9.0,62.5,,20.0,0.0,0.0,0.0
1067,Ceignes,66.3,263.0,6.0,26.3,82.7,25900.0,30.2,0.0,0.0,0.0
1068,Cerdon,26.2,755.0,16.0,61.4,81.3,21410.0,0.9,16.8,0.0,0.0
1069,Certines,57.3,1518.0,44.0,95.4,82.1,25570.0,10.4,25.3,0.0,0.0
1071,Cessy,66.4,5570.0,96.0,871.7,84.2,42540.0,1.9,8.3,0.0,0.0
1072,Ceyzériat,49.2,3306.0,132.0,353.2,78.7,25320.0,16.2,6.5,0.0,0.0
1073,Ceyzérieu,41.4,1028.0,21.0,52.1,78.6,25250.0,2.9,15.7,0.0,0.0
1074,Chalamont,50.7,2544.0,88.0,77.4,82.4,23720.0,8.1,8.3,0.0,0.0
1075,Chaleins,30.4,1436.0,63.0,84.5,82.9,24890.0,46.5,9.4,0.0,1.0
1076,Chaley,0.0,127.0,3.0,27.6,64.1,21070.0,0.0,0.0,0.0,1.0
1077,Challes-la-Montagne,0.0,185.0,4.0,24.2,86.3,24620.0,25.0,0.0,0.0,0.0
1078,Challex,9.1,1628.0,13.0,187.8,81.3,44460.0,2.7,3.6,0.0,0.0
1079,Champagne-en-Valromey,21.3,826.0,37.0,45.5,75.2,22770.0,0.0,3.9,0.0,1.0
1080,Champdor-Corcelles,7.2,655.0,15.0,20.8,81.1,23720.0,5.8,53.6,0.0,1.0
1081,Champfromier,2.6,709.0,16.0,21.9,82.0,27400.0,90.1,1.3,0.0,1.0
1082,Chanay,1.9,595.0,9.0,32.9,70.4,27880.0,0.0,0.6,0.0,0.0
1083,Chaneins,21.8,1041.0,36.0,82.4,84.9,25580.0,15.3,45.2,1.0,0.0
1084,Chanoz-Châtenay,20.5,943.0,16.0,70.3,82.2,24050.0,5.1,41.0,0.0,0.0
1085,La Chapelle-du-Châtelard,51.6,391.0,10.0,29.2,86.5,26330.0,0.0,3.2,0.0,0.0
1087,Charix,68.2,280.0,6.0,15.3,75.9,27320.0,0.0,0.0,0.0,0.0
1088,Charnoz-sur-Ain,54.8,925.0,35.0,139.7,81.1,28140.0,24.7,14.6,0.0,0.0
1089,Château-Gaillard,34.1,2408.0,106.0,149.9,79.7,25170.0,41.8,18.6,1.0,0.0
1090,Châtenay,19.4,358.0,18.0,23.9,78.8,24090.0,0.0,12.9,0.0,0.0
1092,Châtillon-la-Palud,20.5,1675.0,24.0,119.6,80.3,25470.0,3.8,6.1,0.0,0.0
1093,Châtillon-sur-Chalaronne,38.9,5154.0,255.0,286.7,78.7,23430.0,27.8,3.5,4.0,1.0
1094,Chavannes-sur-Reyssouze,79.3,746.0,11.0,45.1,81.6,23460.0,0.0,3.4,0.0,1.0
1095,Nivigne et Suran,2.2,822.0,13.0,26.5,78.7,23260.0,74.2,5.6,0.0,1.0
