Code;Libellé;Part des effectifs des commerces, transports, services divers 2023;Population municipale 2022;Nombre d'établissements 2023;Densité de population (historique depuis 1876) 2022;Taux d'activité par tranche d'âge 2022;Médiane du niveau de vie 2021;Part des effectifs de l'industrie 2023;Part des effectifs de la construction 2023
1001;L'Abergement-Clémenciat;19.2;859;16;53.9;82.1;25820;0,0;30.8
1002;L'Abergement-de-Varey;50,0;273;4;29.8;80.1;24480;0,0;0,0
1004;Ambérieu-en-Bugey;54.6;15554;599;632.3;76.7;21660;7.5;6,0
1005;Ambérieux-en-Dombes;27.9;1917;45;120.4;81.3;24610;19.8;15.2
1006;Ambléon;0,0;114;1;19.4;70.8;24210;0,0;0,0
1007;Ambronay;42,0;2828;73;84.3;80.2;24860;20.7;7.3
1008;Ambutrix;77.6;764;22;146.4;79.7;26300;0,0;7.9
1009;Andert-et-Condon;40,0;335;5;48.3;81.2;24810;40,0;0,0
1010;Anglefort;6.8;1150;19;39.3;76.4;24700;74.4;7.2
1011;Apremont;21.4;399;6;27.4;82.1;24530;7.1;0,0
1012;Aranc;13,0;329;8;15.2;80.4;24270;56.5;4.3
1013;Arandas;0,0;140;4;9.9;77.9;22180;0,0;0,0
1014;Arbent;44.5;3482;249;148.2;76.4;22410;34.4;4.8
1015;Arboys en Bugey;20,0;688;15;30.6;82.2;23800;20,0;6.7
1016;Arbigny;18.5;459;7;26.3;84.1;23080;29.6;14.8
1017;Argis;57.4;420;12;53.6;72.4;20790;21.3;4.3
1019;Armix;0,0;25;1;3.7;86.7;N/A - secret statistique;0,0;0,0
1021;Ars-sur-Formans;59.2;1513;37;275.1;78.9;26430;8.5;5.4
1022;Artemare;55.9;1141;48;304.3;77.3;22000;1.4;8.1
1023;Asnières-sur-Saône;0,0;77;4;16.5;75.5;N/A - secret statistique;0,0;0,0
1024;Attignat;69.8;3372;82;180.4;83.1;24460;19.1;3.4
1025;Bâgé-Dommartin;53.6;4057;65;71.3;80,0;24880;8.1;4.7
1026;Bâgé-le-Châtel;19.8;987;37;1121.6;83.5;22860;3.4;1.5
1027;Balan;29.2;2878;70;159.5;78.4;25770;50.4;7.6
1028;Baneins;41.7;618;13;69.4;81.5;25520;0,0;11.1
1029;Beaupont;9.9;717;17;51,0;76.9;21350;17,0;0,0
1030;Beauregard;74.6;826;15;878.7;80.1;24240;1.7;5.1
1031;Bellignat;36.3;3581;183;457.3;69.5;20550;46.6;3.3
1032;Béligneux;41.7;3484;108;262,0;80.5;23060;23.1;18,0
1033;Valserhône;38.9;16162;521;258.5;77.1;23780;15.4;14.6
1034;Belley;26,0;9270;411;413.5;73.9;21180;31.4;4.8
1035;Belleydoux;6.7;306;7;17.4;80.1;26160;33.3;26.7
1036;Valromey-sur-Séran;31.9;1350;20;23.8;76.6;23820;6.4;17,0
1037;Bénonces;7.7;311;7;20.3;78.5;21770;7.7;30.8
1038;Bény;22.2;769;13;42.1;80.9;24250;0,0;18.5
1040;Béréziat;45.5;481;8;44.4;82.3;23440;0,0;0,0
1041;Bettant;63.6;762;10;226.1;82,0;25150;0,0;9.1
